GRPCODE;GRPNAME;MKBCODE
10 000 101;Другие хламидийные болезни, передающиеся половым путем;A56
10 000 102;Шанкроид;A57
10 000 103;Паховая гранулема;A58
10 000 104;Трихомониаз;A59
10 000 105;Аногенитальная герпетическая вирусная инфекция [herpes simplex];A60
10 000 106;Другие болезни, передающиеся преимущественно половым путем, не классифицированные в других рубриках;A63
10 000 107;Болезни, передающиеся половым путем, неуточненные;A64
10 000 108;Невенерический сифилис;A65
10 000 109;Фрамбезия;A66
10 000 110;Пинта [карате];A67
10 000 111;Возвратные лихорадки;A68
10 000 112;Другие инфекции, вызванные спирохетами;A69
10 000 113;Инфекция, вызываемая Chlamydia psittaci;A70
10 000 114;Трахома;A71
10 000 115;Другие болезни, вызываемые хламидиями;A74
10 000 116;Сыпной тиф;A75
10 000 117;Пятнистая лихорадка [клещевые риккетсиозы];A77
10 000 118;Лихорадка Ку;A78
10 000 119;Другие риккетсиозы;A79
10 000 120;Острый полиомиелит;A80
10 000 121;Медленные вирусные инфекции центральной нервной системы;A81
10 000 122;Бешенство;A82
10 000 123;Комариный вирусный энцефалит;A83
10 000 124;Клещевой вирусный энцефалит;A84
10 000 125;Другие вирусные энцефалиты, не классифицированные в других рубриках;A85
10 000 126;Вирусный энцефалит неуточненный;A86
10 000 127;Вирусный менингит;A87
10 000 128;Другие вирусные инфекции центральной нервной системы, не классифицированные в других рубриках;A88
10 000 129;Вирусная инфекция  центральной нервной системы неуточненная;A89
10 000 130;Лихорадка денге [классическая лихорадка денге];A90
10 000 131;Геморрагическая лихорадка, вызванная вирусом денге;A91
10 000 132;Другие комариные вирусные лихорадки;A92
10 000 133;Другие вирусные лихорадки, передаваемые членистоногими, не классифицированные в других рубриках;A93
10 000 134;Вирусная лихорадка, передаваемая членистоногими, неуточненная;A94
10 000 135;Желтая лихорадка;A95
10 000 136;Ареновирусная геморрагическая лихорадка;A96
10 000 137;Другие вирусные геморрагические лихорадки, не классифицированные в других рубриках;A98
10 000 138;Вирусная геморрагическая лихорадка неуточненная;A99
10 000 139;Инфекции, вызванные вирусом герпеса [herpes simplex];B00
10 000 140;Ветряная оспа [varicella];B01
10 000 141;Опоясывающий лишай [herpes zoster];B02
10 000 142;Оспа;B03
10 000 143;Инфекции, вызванные вирусом обезьяньей оспы;B04
10 000 144;Корь;B05
10 000 145;Краснуха [немецкая корь];B06
10 000 146;Вирусные бородавки;B07
10 000 147;Другие вирусные инфекции, характеризующиеся поражениями кожи и слизистых оболочек, не классифицированные в других рубриках;B08
10 000 148;Вирусная инфекция, характеризующаяся поражением кожи и слизистых оболочек, неуточненная;B09
10 000 149;Острый гепатит A;B15
10 000 150;Острый гепатит B;B16
10 000 151;Другие острые вирусные гепатиты;B17
10 000 152;Хронический вирусный гепатит;B18
10 000 153;Вирусный гепатит неуточненный;B19
10 000 154;Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], проявляющаяся в виде инфекционных и паразитарных болезней;B20
10 000 155;Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], проявляющаяся в виде злокачественных новообразований;B21
10 000 156;Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], проявляющаяся в виде других уточненных болезней;B22
10 000 157;Болезнь, вызванная вирусом иммунодефицита человека  [ВИЧ], проявляющаяся в виде других состояний;B23
10 000 158;Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], неуточненная;B24
10 000 159;Цитомегаловирусная болезнь;B25
10 000 160;Эпидемический паротит;B26
10 000 161;Инфекционный мононуклеоз;B27
10 000 162;Вирусный конъюнктивит;B30
10 000 163;Другие вирусные болезни, не классифицированные в других рубриках;B33
10 000 164;Вирусная инфекция неуточненной локализации;B34
10 000 165;Дерматофития;B35
10 000 166;Другие поверхностные микозы;B36
10 000 167;Кандидоз;B37
10 000 168;Кокцидиоидомикоз;B38
10 000 169;Гистоплазмоз;B39
10 000 170;Бластомикоз;B40
10 000 171;Паракокцидиоидомикоз;B41
10 000 172;Споротрихоз;B42
10 000 173;Хромомикоз и феомикотический абсцесс;B43
10 000 174;Аспергиллез;B44
10 000 175;Криптококкоз;B45
10 000 176;Зигомикоз;B46
10 000 177;Мицетома;B47
10 000 178;Другие микозы, не классифицированные в других рубриках;B48
10 000 179;Микоз неуточненный;B49
10 000 180;Малярия, вызванная Plasmodium falciparum;B50
10 000 181;Малярия, вызванная Plasmodium vivax;B51
10 000 182;Малярия, вызванная Plasmodium malariae;B52
10 000 183;Другие виды паразитологически подтвержденной малярии;B53
10 000 184;Малярия неуточненная;B54
10 000 185;Лейшманиоз;B55
10 000 186;Африканский трипаносомоз;B56
10 000 187;Болезнь Шагаса;B57
10 000 188;Токсоплазмоз;B58
10 000 189;Пневмоцистоз;B59
10 000 190;Другие протозойные болезни, не классифицированные в других рубриках;B60
10 000 191;Протозойная болезнь неуточненная;B64
10 000 192;Шистосомоз [бильгарциоз];B65
10 000 193;Другие трематодозы;B66
10 000 194;Эхинококкоз;B67
10 000 195;Тениоз;B68
10 000 196;Цистицеркоз;B69
10 000 197;Дифиллоботриоз и спарганоз;B70
10 000 198;Другие инвазии, вызванные цестодами;B71
10 000 199;Дракункулез;B72
10 000 200;Онхоцеркоз;B73
10 000 201;Филяриатоз;B74
10 000 202;Трихинеллез;B75
10 000 203;Анкилостомидоз;B76
10 000 204;Аскаридоз;B77
10 000 205;Стронгилоидоз;B78
10 000 206;Трихуроз;B79
10 000 207;Энтеробиоз;B80
10 000 208;Другие кишечные гельминтозы, не классифицированные в других рубриках;B81
10 000 209;Кишечный паразитизм неуточненный;B82
10 000 210;Другие гельминтозы;B83
10 000 211;Педикулез и фтириоз;B85
10 000 212;Чесотка;B86
10 000 213;Миаз;B87
10 000 214;Другие инфестации;B88
10 000 215;Паразитарная болезнь неуточненная;B89
10 000 216;Последствия туберкулеза;B90
10 000 217;Последствия полиомиелита;B91
10 000 218;Последствия лепры;B92
10 000 219;Последствия других и неуточненных инфекционных и паразитарных болезней;B94
10 000 220;Стрептококки и стафилококки как причина болезней, классифицированных в других рубриках;B95
10 000 221;Другие бактериальные агенты как причина болезней, классифицированных в других рубриках;B96
10 000 222;Вирусные агенты как причина болезней, классифицированных в других рубриках;B97
10 000 223;ДРУГИЕ ИНФЕКЦИОННЫЕ БОЛЕЗНИ;B99
10 000 224;Злокачественное новообразование губы;C00
10 000 225;Злокачественные новообразования основания языка;C01
10 000 226;Злокачественное новообразование других и неуточненных частей языка;C02
10 000 227;Злокачественное новообразование десны;C03
10 000 228;Злокачественное новообразование дна полости рта;C04
10 000 229;Злокачественное новообразование неба;C05
10 000 230;Злокачественное новообразование других и неуточненных отделов рта;C06
10 000 231;Злокачественное новообразование околоушной слюнной железы;C07
10 000 232;Злокачественное новообразование других и неуточненных больших слюнных желез;C08
10 000 233;Злокачественное новообразование миндалины;C09
10 000 234;Злокачественное новообразование ротоглотки;C10
10 000 235;Злокачественное новообразование носоглотки;C11
10 000 236;Злокачественное новообразование грушевидного синуса;C12
10 000 237;Злокачественное новообразование нижней части глотки;C13
10 000 238;Злокачественное новообразование других и неточно обозначенных локализаций губы, полости рта и глотки;C14
10 000 239;Злокачественное новообразование пищевода;C15
10 000 240;Злокачественное новообразование желудка;C16
10 000 241;Злокачественное новообразование тонкого кишечника;C17
10 000 242;Злокачественное новообразование ободочной кишки;C18
10 000 243;Злокачественное новообразование ректосигмоидного соединения;C19
10 000 244;Злокачественное новообразование прямой кишки;C20
10 000 245;Злокачественное новообразование заднего прохода [ануса] и анального канала;C21
10 000 246;Злокачественное новообразование печени и внутрипеченочных желчных протоков;C22
10 000 247;Злокачественное новообразование желчного пузыря;C23
10 000 248;Злокачественное новообразование других и неуточненных частей желчевыводящих путей;C24
10 000 249;Злокачественное новообразование поджелудочной железы;C25
10 000 250;Злокачественное новообразование других и неточно обозначенных органов пищеварения;C26
10 000 251;Злокачественное новообразование полости носа и среднего уха;C30
10 000 252;Злокачественное новообразование придаточных пазух;C31
10 000 253;Злокачественное новообразование гортани;C32
10 000 254;Злокачественное новообразование трахеи;C33
10 000 255;Злокачественное новообразование бронхов и легкого;C34
10 000 256;Злокачественное новообразование вилочковой железы;C37
10 000 257;Злокачественное новообразование сердца, средостения и плевры;C38
10 000 258;Злокачественное новообразование других и неточно обозначенных локализаций органов дыхания и внутригрудных органов;C39
10 000 259;Злокачественное новообразование костей и суставных хрящей;C40
10 000 260;Злокачественное новообразование костей и суставных хрящей  других и неуточненных локализаций;C41
10 000 261;Злокачественная меланома кожи;C43
10 000 262;Другие злокачественные новообразования кожи;C44
10 000 263;Мезотелиома;C45
10 000 264;Саркома Капоши;C46
10 000 265;Злокачественное новообразование периферических нервов и вегетативной нервной системы;C47
10 000 266;Злокачественное новообразование забрюшинного пространства и брюшины;C48
10 000 267;Злокачественное новообразование других типов соединительной и мягких тканей;C49
10 000 268;ЗЛОКАЧЕСТВЕННОЕ НОВООБРАЗОВАНИЕ МОЛОЧНОЙ ЖЕЛЕЗЫ;C50
10 000 269;Злокачественное новообразование вульвы;C51
10 000 270;Злокачественное новообразование влагалища;C52
10 000 271;Злокачественное новообразование шейки матки;C53
10 000 272;Злокачественное новообразование тела матки;C54
10 000 273;Злокачественное новообразование матки неуточненной локализации;C55
10 000 274;Злокачественное новообразование яичника;C56
10 000 275;Злокачественное новообразование других и неуточненных женских половых органов;C57
10 000 276;Злокачественное новообразование плаценты;C58
10 000 277;Злокачественное новообразование полового члена;C60
10 000 278;Злокачественное новообразование предстательной железы;C61
10 000 279;Злокачественное новообразование яичка;C62
10 000 280;Злокачественное новообразование других и неуточненных мужских половых органов;C63
10 000 281;Злокачественное новообразование почки, кроме почечной лоханки;C64
10 000 282;Злокачественное новообразование почечных лоханок;C65
10 000 283;Злокачественное новообразование мочеточника;C66
10 000 284;Злокачественное новообразование пузыря;C67
10 000 285;Злокачественное новообразование других и неуточненных мочевых органов;C68
10 000 286;Злокачественное новообразование глаза и его придаточного аппарата;C69
10 000 287;Злокачественное новообразование мозговых оболочек;C70
10 000 288;Злокачественное новообразование головного мозга;C71
10 000 289;Злокачественное новообразование спинного мозга, черепных нервов и других отделов центральной нервной системы;C72
10 000 290;Злокачественное новообразование щитовидной железы;C73
10 000 291;Злокачественное новообразование надпочечника;C74
10 000 292;Злокачественное новообразование других эндокринных желез и родственных структур;C75
10 000 293;Злокачественное новообразование других и неточно обозначенных локализаций;C76
10 000 294;Вторичное и неуточненное злокачественное новообразование лимфатических узлов;C77
10 000 295;Вторичное злокачественное новообразование органов дыхания и пищеварения;C78
10 000 296;Вторичное злокачественное новообразование других локализаций;C79
10 000 297;Злокачественное новообразование без уточнения локализации;C80
10 000 298;Болезнь Ходжкина [лимфогранулематоз];C81
10 000 299;Фолликулярная [нодулярная] неходжкинская лимфома;C82
10 000 300;Диффузная неходжкинская лимфома;C83
10 000 301;Периферические и кожные T-клеточные лимфомы;C84
10 000 302;Другие и неуточненные типы неходжкинской лимфомы;C85
10 000 303;Злокачественные иммунопролиферативные болезни;C88
10 000 304;Множественная миелома и злокачественные плазмоклеточные ново образования;C90
10 000 305;Лимфоидный лейкоз [лимфолейкоз];C91
10 000 306;Миелоидный лейкоз [миелолейкоз];C92
10 000 307;Моноцитарный лейкоз;C93
10 000 308;Другой лейкоз уточненного клеточного типа;C94
10 000 309;Лейкоз неуточненного клеточного типа;C95
10 000 310;Другие и неуточненные злокачественные новообразования лимфоидной, кроветворной и родственных им тканей;C96
10 000 311;ЗЛОКАЧЕСТВЕННЫЕ НОВООБРАЗОВАНИЯ САМОСТОЯТЕЛЬНЫХ (ПЕРВИЧНЫХ) МНОЖЕСТВЕННЫХ ЛОКАЛИЗАЦИЙ;C97
10 000 312;Карцинома in situ полости рта, пищевода и желудка;D00
10 000 313;Карцинома in situ других и неуточненных органов пищеварения;D01
10 000 314;Карцинома in situ среднего уха и органов дыхания;D02
10 000 315;Меланома in situ;D03
10 000 316;Карцинома in situ кожи;D04
10 000 317;Карцинома in situ молочной железы;D05
10 000 318;Карцинома in situ шейки матки;D06
10 000 319;Карцинома in situ других и неуточненных половых органов;D07
10 000 320;Карцинома in situ других и неуточненных локализаций;D09
10 000 321;Доброкачественное новообразование рта и глотки;D10
10 000 322;Доброкачественное новообразование больших слюнных желез;D11
10 000 323;Доброкачественное новообразование ободочной кишки, прямой кишки, заднего прохода [ануса] и анального канала;D12
10 000 324;Доброкачественное новообразование других и неточно обозначенных органов пищеварения;D13
10 000 325;Доброкачественное новообразование среднего уха и органов дыхания;D14
10 000 326;Доброкачественное новообразование других и неуточненных органов грудной клетки;D15
10 000 327;Доброкачественное новообразование костей и суставных хрящей;D16
10 000 328;Доброкачественное новообразование жировой ткани;D17
10 000 329;Гемангиома и лимфангиома любой локализации;D18
10 000 330;Доброкачественное новообразование мезотелиальной ткани;D19
10 000 331;Доброкачественное новообразование мягких тканей забрюшинного пространства и брюшины;D20
10 000 332;Другие доброкачественные новообразования соединительной и других мягких тканей;D21
10 000 333;Меланоформный невус;D22
10 000 334;Другие доброкачественные новообразования кожи;D23
10 000 335;Доброкачественное новообразование молочной железы;D24
10 000 336;Лейомиома матки;D25
10 000 337;Другие доброкачественные новообразования матки;D26
10 000 338;Доброкачественное новообразование яичника;D27
10 000 339;Доброкачественное новообразование других и неуточненных женских;D28
10 000 340;Доброкачественное новообразование мужских половых органов;D29
10 000 341;Доброкачественные новообразования мочевых органов;D30
10 000 342;Доброкачественное новообразование глаза и его придаточного аппарата;D31
10 000 343;Доброкачественное новообразование мозговых оболочек;D32
10 000 344;Доброкачественное новообразование головного мозга и других отделов центральной нервной системы;D33
10 000 345;Доброкачественное новообразование щитовидной железы;D34
10 000 346;Доброкачественное новообразование других и неуточненных эндокринных желез;D35
10 000 347;Доброкачественное новообразование других и неуточненных локализаций;D36
10 000 348;Новообразование неопределенного или неизвестного характера полости рта и органов пищеварения;D37
10 000 349;Новообразование неопределенного или неизвестного характера среднего уха, органов дыхания и грудной клетки;D38
10 000 350;Новообразования неопределенного или неизвестного характера;D39
10 000 351;Новообразование неопределенного или неизвестного характера мужских половых органов;D40
10 000 352;Новообразование неопределенного или неизвестного характера мочевых органов;D41
10 000 353;Новообразование неопределенного или неизвестного характера мозговых оболочек;D42
10 000 354;Новообразование неопределенного или неизвестного характера головного мозга и центральной нервной системы;D43
10 000 355;Новообразование неопределенного или неизвестного характера эндокринных желез;D44
10 000 356;Полицитемия истинная;D45
10 000 357;Миелодиспластические синдромы;D46
10 000 358;Другие новообразования неопределенного или неизвестного характера лимфоидной, кроветворной и родственных им тканей;D47
10 000 359;Новообразование неопределенного или неизвестного характера других и неуточненных локализаций;D48
10 000 360;Железодефицитная анемия;D50
10 000 361;Витамин-B12-дефицитная анемия;D51
10 000 362;Фолиеводефицитная анемия;D52
10 000 363;Другие анемии, связанные с питанием;D53
10 000 364;Анемия вследствие ферментных нарушений;D55
10 000 365;Талассемия;D56
10 000 366;Серповидно-клеточные нарушения;D57
10 000 367;Другие наследственные гемолитические анемии;D58
10 000 368;Приобретенная гемолитическая анемия;D59
10 000 369;Приобретенная чистая красноклеточная аплазия (эритробластопения);D60
10 000 370;Другие апластические анемии;D61
10 000 371;Острая постгеморрагическая анемия;D62
10 000 372;Анемия при хронических болезнях, классифицированных в других;D63*
10 000 373;Другие анемии;D64
10 000 374;Диссеминированное внутрисосудистое свертывание [синдром дефибринации];D65
10 000 375;Наследственный дефицит фактора VIII;D66
10 000 376;Наследственный дефицит фактора IX;D67
10 000 377;Другие нарушения свертываемости;D68
10 000 378;Пурпура и другие геморрагические состояния;D69
10 000 379;Агранулоцитоз;D70
10 000 380;Функциональные нарушения полиморфно-ядерных нейтрофилов;D71
10 000 381;Другие нарушения белых кровяных клеток;D72
10 000 382;Болезни селезенки;D73
10 000 383;Метгемоглобинемия;D74
10 000 384;Другие болезни крови и кроветворных органов;D75
10 000 385;Отдельные болезни, протекающие с вовлечением лимфоретикулярной ткани и ретикулогистиоцитарной системы;D76
10 000 386;Другие нарушения крови и кроветворных органов при болезнях,;D77*
10 000 387;Иммунодефициты с преимущественной недостаточностью антител;D80
10 000 388;Комбинированные иммунодефициты;D81
10 000 389;Иммунодефициты, связанные с другими значительными дефектами;D82
10 000 390;Обычный вариабельный иммунодефицит;D83
10 000 391;Другие иммунодефициты;D84
10 000 392;Саркоидоз;D86
10 000 393;Другие нарушения с вовлечением иммунного механизма, не классифицированные в других рубриках;D89
10 000 394;Синдром врожденной йодной недостаточности;E00
10 000 395;Болезни щитовидной железы, связанные с йодной недостаточностью, и сходные состояния;E01
10 000 396;Субклинический гипотиреоз вследствие йодной недостаточности;E02
10 000 397;Другие формы гипотиреоза;E03
10 000 398;Другие формы нетоксического зоба;E04
10 000 399;Тиреотоксикоз [гипертиреоз];E05
10 000 400;Тиреоидит;E06
10 000 401;Другие болезни щитовидной железы;E07
10 000 402;Инсулинзависимый сахарный диабет;E10
10 000 403;Инсулиннезависимый сахарный диабет;E11
10 000 404;Сахарный диабет, связанный с недостаточностью питания;E12
10 000 405;Другие уточненные формы сахарного диабета;E13
10 000 406;Сахарный диабет неуточненный;E14
10 000 407;Недиабетическая гипогликемическая кома;E15
10 000 408;Другие нарушения внутренней секреции поджелудочной железы;E16
10 000 409;Гипопаратиреоз;E20
10 000 410;Гиперпаратиреоз и другие нарушения паращитовидной [околощитовидной] железы;E21
10 000 411;Гиперфункция гипофиза;E22
10 000 412;Гипофункция и другие нарушения гипофиза;E23
10 000 413;Синдром Иценко-Кушинга;E24
10 000 414;Адреногенитальные расстройства;E25
10 000 415;Гиперальдостеронизм;E26
10 000 416;Другие нарушения надпочечников;E27
10 000 417;Дисфункция яичников;E28
10 000 418;Дисфункция яичек;E29
10 000 419;Нарушения полового созревания, не классифицированные в других рубриках;E30
10 000 420;Полигландулярная дисфункция;E31
10 000 421;Болезни вилочковой железы;E32
10 000 422;Другие эндокринные нарушения;E34
10 000 423;Нарушения эндокринных желез при болезнях, классифицированных в других рубриках;E35*
10 000 424;Квашиоркор;E40
10 000 425;Алиментарный маразм;E41
10 000 426;Маразматический квашиоркор;E42
10 000 427;Тяжелая белково-энергетическая недостаточность неуточненная;E43
10 000 428;Белково-энергетическая недостаточность умеренной и слабой степени;E44
10 000 429;Задержка развития, обусловленная белково-энергетической недостаточностью;E45
10 000 430;Белково-энергетическая недостаточность неуточненная;E46
10 000 431;Недостаточность витамина A;E50
10 000 432;Недостаточность тиамина;E51
10 000 433;Недостаточность никотиновой кислоты [пеллагра];E52
10 000 434;Недостаточность других витаминов группы B;E53
10 000 435;Недостаточность аскорбиновой кислоты;E54
10 000 436;Недостаточность витамина D;E55
10 000 437;Недостаточность других витаминов;E56
10 000 438;Алиментарная недостаточность кальция;E58
10 000 439;Алиментарная недостаточность селена;E59
10 000 440;Алиментарная недостаточность цинка;E60
10 000 441;Недостаточность других элементов питания;E61
10 000 442;Другие виды недостаточности питания;E63
10 000 443;Последствия недостаточности питания и недостатка других питательных веществ;E64
10 000 444;Локализованное отложение жира;E65
10 000 445;Ожирение;E66
10 000 446;Другие виды избыточности питания;E67
10 000 447;Последствия избыточности питания;E68
10 000 448;Нарушения обмена ароматических аминокислот;E70
10 000 449;Нарушения обмена аминокислот с разветвленной цепью и обмена жирных кислот;E71
10 000 450;Другие нарушения обмена аминокислот;E72
10 000 451;Непереносимость лактозы;E73
10 000 452;Другие нарушения обмена углеводов;E74
10 000 453;Нарушения обмена сфинголипидов и другие болезни накопления липидов;E75
10 000 454;Нарушения обмена глюкозаминогликанов;E76
10 000 455;Нарушения обмена гликопротеинов;E77
10 000 456;Нарушения обмена липопротеидов и другие липидемии;E78
10 000 457;Нарушения обмена пуринов и пиримидинов;E79
10 000 458;Нарушения обмена порфирина и билирубина;E80
10 000 459;Нарушения минерального обмена;E83
10 000 460;Кистозный фиброз;E84
10 000 461;Амилоидоз;E85
10 000 462;Уменьшение объема жидкости;E86
10 000 463;Другие нарушения водно-солевого обмена или кислотно-щелочного равновесия;E87
10 000 464;Другие нарушения обмена веществ;E88
10 000 465;Эндокринные и метаболические нарушения, возникшие после медицинских процедур, не классифицированные в других рубриках;E89
10 000 466;Расстройства питания и нарушения обмена веществ при болезнях, классифицированных в других рубриках;E90*
10 000 467;Деменция при болезни Альцгеймера (G30.-+);F00*
10 000 468;Сосудистая деменция;F01
10 000 469;Деменция при других болезнях, классифицированных в других рубриках;F02*
10 000 470;Деменция неуточненная;F03
10 000 471;Органический амнестический синдром, не вызванный алкоголем или другими психоактивными веществами;F04
10 000 472;Делирий, не вызванный алкоголем или другими психоактивными веществами;F05
10 000 473;Другие психические расстройства, обусловленные повреждением и дисфункцией головного мозга или соматической болезнью;F06
10 000 474;Расстройства личности и поведения, обусловленные болезнью, повреждением или дисфункцией головного мозга;F07
10 000 475;Органическое или симптоматическое психическое расстройство неуточненное;F09
10 000 476;Психические и поведенческие расстройства, вызванные употреблением алкоголя;F10
10 000 477;Психические и поведенческие расстройства, вызванные употреблением опиоидов;F11
10 000 478;Психические и поведенческие расстройства, вызванные употреблением каннабиоидов;F12
10 000 479;Психические и поведенческие расстройства, вызванные употреблением седативных или снотворных средств;F13
10 000 480;Психические и поведенческие расстройства, вызванные употреблением кокаина;F14
10 000 481;Психические и поведенческие расстройства, вызванные употреблением других стимуляторов (включая кофеин);F15
10 000 482;Психические и поведенческие расстройства, вызванные употребле-;F16
10 000 483;Психические и поведенческие расстройства, вызванные употреблением табака;F17
10 000 484;Психические и поведенческие расстройства, вызванные употреблением летучих растворителей;F18
10 000 485;Психические и поведенческие расстройства, вызванные одновре менным употреблением нескольких наркотических средств и использованием других психоактивных веществ;F19
10 000 486;Шизофрения;F20
10 000 487;Шизотипическое расстройство;F21
10 000 488;Хронические бредовые расстройства;F22
10 000 489;Острые и преходящие психотические расстройства;F23
10 000 490;Индуцированное бредовое расстройство;F24
10 000 491;Шизоаффективные расстройства;F25
10 000 492;Другие неорганические психотические расстройства;F28
10 000 493;Неорганический психоз неуточненный;F29
10 000 494;Маниакальный эпизод;F30
10 000 495;Биполярное аффективное расстройство;F31
10 000 496;Депрессивный эпизод;F32
10 000 497;Рекуррентное депрессивное расстройство;F33
10 000 498;Устойчивые расстройства настроения [аффективные расстройства];F34
10 000 499;Другие расстройства настроения [аффективные];F38
10 000 500;Расстройство настроения [аффективное] неуточненное;F39
10 000 501;Фобические тревожные расстройства;F40
