DGCODE;GRPCODE;DGNAME;MKBCODE
10002124;10000058;Бактериальное пищевое отравление неуточненное;A05.9
10002125;10000059;Острая амебная дизентерия;A06.0
10002126;10000059;Хронический кишечный амебиаз;A06.1
10002127;10000059;Амебный недизентерийный колит;A06.2
10002128;10000059;Амебома кишечника;A06.3
10002129;10000059;Амебный абсцесс печени;A06.4
10002130;10000059;Амебный абсцесс легкого (J99.8*);A06.5+
10002131;10000059;Амебный абсцесс головного мозга (G07*);A06.6+
10002132;10000059;Кожный амебиаз;A06.7
10002133;10000059;Амебная инфекция другой локализации;A06.8
10002134;10000059;Амебиаз неуточненный;A06.9
10002135;10000060;Балантидиаз;A07.0
10002136;10000060;Жиардиаз [лямблиоз];A07.1
10002137;10000060;Криптоспоридиоз;A07.2
10002138;10000060;Изоспороз;A07.3
10002139;10000060;Другие уточненные протозойные кишечные болезни;A07.8
10002140;10000060;Протозойная кишечная болезнь неуточненная;A07.9
10002141;10000061;Ротавирусный энтерит;A08.0
10002142;10000061;Острая гастроэнтеропатия, вызванная возбудителем Норволк;A08.1
10002143;10000061;Аденовирусный энтерит;A08.2
10002144;10000061;Другие вирусные энтериты;A08.3
10002145;10000061;Вирусная кишечная инфекция неуточненная;A08.4
10002146;10000061;Другие уточненные кишечные инфекции;A08.5
10002147;10000063;Туберкулез легких, подтвержденный бактериоскопически с наличием или отсутствием роста культуры;A15.0
10002148;10000063;Туберкулез легких, подтвержденный только ростом культуры;A15.1
10002149;10000063;Туберкулез легких, подтвержденный гистологически;A15.2
10002150;10000063;Туберкулез легких, подтвержденный неуточненными методами;A15.3
10002151;10000063;Туберкулез внутригрудных лимфатических узлов, подтвержденный бактериологически и гистологически;A15.4
10002152;10000063;Туберкулез гортани, трахеи и бронхов, подтвержденный бактериологически и гистологически;A15.5
10002153;10000063;Туберкулезный плеврит, подтвержденный бактериологически и гистологически;A15.6
10002154;10000063;Первичный туберкулез органов дыхания, подтвержденный бактериологически и гистологически;A15.7
10002155;10000063;Туберкулез других органов дыхания, подтвержденный бактериологически и гистологически;A15.8
10002156;10000063;Туберкулез органов дыхания неуточненной локализации, подтвержденный бактериологически и гистологически;A15.9
10002157;10000064;Туберкулез легких при отрицательных результатах бактериологических и гистологических исследований;A16.0
10002158;10000064;Туберкулез легких без проведения бактериологического и гистологического исследований;A16.1
10002159;10000064;Туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении;A16.2
10002160;10000064;Туберкулез внутригрудных лимфатических узлов без упоминания о бактериологическом или гистологическом подтверждении;A16.3
10002161;10000064;Туберкулез гортани, трахеи и бронхов без упоминания о бактериологическом или гистологическом подтверждении;A16.4
10002162;10000064;Туберкулезный плеврит без упоминания о бактериологическом или гистологическом подтверждении;A16.5
10002163;10000064;Первичный туберкулез органов дыхания без упоминания о бактериологическом или гистологическом подтверждении;A16.7
10002164;10000064;Туберкулез других органов дыхания без упоминания о бактериологическом или гистологическом подтверждении;A16.8
10002165;10000064;Туберкулез органов дыхания неуточненной локализации без упоминания о бактериологическом или гистологическом подтверждении;A16.9
10002166;10000065;Туберкулезный менингит (G01*);A17.0+
10002167;10000065;Менингеальная туберкулема (G07*);A17.1+
10002168;10000065;Туберкулез нервной системы других локализаций;A17.8+
10002169;10000065;Туберкулез нервной системы неуточненный (G99.8*);A17.9+
10002170;10000066;Туберкулез костей и суставов;A18.0+
10002171;10000066;Туберкулез мочеполовых органов;A18.1+
10002172;10000066;Туберкулезная периферическая лимфаденопатия;A18.2
10002173;10000066;Туберкулез кишечника, брюшины и брыжеечных лимфатических узлов;A18.3
10002174;10000066;Туберкулез кожи и подкожной клетчатки;A18.4
10002175;10000066;Туберкулез глаза;A18.5+
10002176;10000066;Туберкулез уха;A18.6+
10002177;10000066;Туберкулез надпочечников (E35.1*);A18.7+
10002178;10000066;Туберкулез других уточненных органов;A18.8+
10002179;10000067;Острый милиарный туберкулез одной уточненной локализации;A19.0
10002180;10000067;Острый милиарный туберкулез множественной локализации;A19.1
10002181;10000067;Острый милиарный туберкулез неуточненной локализации;A19.2
10002182;10000067;Другие формы милиарного туберкулеза;A19.8
10002183;10000067;Милиарный туберкулез неуточненной локализации;A19.9
10002184;10000068;Бубонная чума;A20.0
10002185;10000068;Целлюлярнокожная чума;A20.1
10002186;10000068;Легочная чума;A20.2
10002187;10000068;Чумной менингит;A20.3
10002188;10000068;Септическая чума;A20.7
10002189;10000068;Другие формы чумы;A20.8
10002190;10000068;Чума неуточненная;A20.9
10002191;10000069;Ульцерогландулярная туляремия;A21.0
10002192;10000069;Окулогландулярная туляремия;A21.1
10002193;10000069;Легочная туляремия;A21.2
10002194;10000069;Желудочно-кишечная туляремия;A21.3
10002195;10000069;Генерализованная туляремия;A21.7
10002196;10000069;Другие формы туляремии;A21.8
10002197;10000069;Туляремия неуточненная;A21.9
10002198;10000070;Кожная форма сибирской язвы;A22.0
10002199;10000070;Легочная форма сибирской язвы;A22.1
10002200;10000070;Желудочно-кишечная форма сибирской язвы;A22.2
10002201;10000070;Сибиреязвенная септицемия;A22.7
10002202;10000070;Другие формы сибирской язвы;A22.8
10002203;10000070;Сибирская язва неуточненная;A22.9
10002204;10000071;Бруцеллез, вызванный Brucella melitensis;A23.0
10002205;10000071;Бруцеллез, вызванный Brucella abortus;A23.1
10002206;10000071;Бруцеллез, вызванный Brucella suis;A23.2
10002207;10000071;Бруцеллез, вызванный Brucella canis;A23.3
10002208;10000071;Другие формы бруцеллеза;A23.8
10002209;10000071;Бруцеллез неуточненный;A23.9
10002210;10000072;Сап;A24.0
10002211;10000072;Острый или молниеносный мелиоидоз;A24.1
10002212;10000072;Подострый и хронический мелиоидоз;A24.2
10002213;10000072;Другой уточненный мелиоидоз;A24.3
10002214;10000072;Мелиоидоз неуточненный;A24.4
10002215;10000073;Спириллез;A25.0
10002216;10000073;Стрептобациллез;A25.1
10002217;10000073;Лихорадка от укуса крыс неуточненная;A25.9
10002218;10000074;Кожный эризипелоид;A26.0
10002219;10000074;Септицемия, вызванная Erysipelothrix;A26.7
10002220;10000074;Другие формы эризипелоида;A26.8
10002221;10000074;Эризипелоид неуточненный;A26.9
10002222;10000075;Лептоспироз желтушно-геморрагический;A27.0
10002223;10000075;Другие формы лептоспироза;A27.8
10002224;10000075;Лептоспироз неуточненный;A27.9
10002225;10000076;Пастереллез;A28.0
10002226;10000076;Лихорадка от кошачьих царапин;A28.1
10002227;10000076;Экстраинтестинальный иерсиниоз;A28.2
10002228;10000076;Другие уточненные бактериальные зоонозы, не классифи-;A28.8
10002229;10000076;Бактериальные зоонозы неуточненные;A28.9
10002230;10000077;Недифференцированная лепра;A30.0
10002231;10000077;Туберкулоидная лепра;A30.1
10002232;10000077;Пограничная туберкулоидная лепра;A30.2
10002233;10000077;Пограничная лепра;A30.3
10002234;10000077;Пограничная лепроматозная лепра;A30.4
10002235;10000077;Лепроматозная лепра;A30.5
10002236;10000077;Другие формы лепры;A30.8
10002237;10000077;Лепра неуточненная;A30.9
10002238;10000078;Легочная инфекция, вызванная Mycobacterium;A31.0
10002239;10000078;Кожная инфекция, вызванная Mycobacterium;A31.1
10002240;10000078;Другие инфекции, вызванные Mycobacterium;A31.8
10002241;10000078;Инфекция, вызванная Mycobacterium, неуточненная;A31.9
10002242;10000079;Кожный листериоз;A32.0
10002243;10000079;Листериозный менингит и менингоэнцефалит;A32.1+
10002244;10000079;Листериозная септицемия;A32.7
10002245;10000079;Другие формы листериоза;A32.8
10002246;10000079;Листериоз неуточненный;A32.9
10002247;10000083;Дифтерия глотки;A36.0
10002248;10000083;Дифтерия носоглотки;A36.1
10002249;10000083;Дифтерия гортани;A36.2
10002250;10000083;Дифтерия кожи;A36.3
10002251;10000083;Другая дифтерия;A36.8
10002252;10000083;Дифтерия неуточненная;A36.9
10002253;10000084;Коклюш, вызванный Bordetella pertussis;A37.0
10002254;10000084;Коклюш, вызванный Bordetella parapertussis;A37.1
10002255;10000084;Коклюш, вызванный другим уточненным возбудителем вида Bordetella;A37.8
10002256;10000084;Коклюш неуточненный;A37.9
10002257;10000086;Менингококковый менингит (G01*);A39.0
10002258;10000086;Синдром Уотерхауса-Фридериксена (E35.1*);A39.1+
10002259;10000086;Острая менингококкемия;A39.2
10002260;10000086;Хроническая менингококкемия;A39.3
10002261;10000086;Менингококкемия неуточненная;A39.4
10002262;10000086;Менингококковая болезнь сердца;A39.5+
10002263;10000086;Другие менингококковые инфекции;A39.8
10002264;10000086;Менингококковая инфекция неуточненная;A39.9
10002265;10000087;Септицемия, вызванная стрептококком группы A;A40.0
10002266;10000087;Септицемия, вызванная стрептококком группы B;A40.1
10002267;10000087;Септицемия, вызванная стрептококком группы D;A40.2
10002268;10000087;Септицемия, вызванная Streptococcus pneumoniae;A40.3
10002269;10000087;Другие стрептококковые септицемии;A40.8
10002270;10000087;Стрептококковая септицемия неуточненная;A40.9
10002271;10000088;Септицемия, вызванная Staphylococcus aureus;A41.0
10002272;10000088;Септицемия, вызванная другим уточненным стафилококком;A41.1
10002273;10000088;Септицемия, вызванная неуточненным стафилококком;A41.2
10002274;10000088;Септицемия, вызванная Haemophilus influenzae;A41.3
10002275;10000088;Септицемия, вызванная анаэробами;A41.4
10002276;10000088;Септицемия, вызванная другими грамотрицательными микроорганизмами;A41.5
10002277;10000088;Другая уточненная септицемия;A41.8
10002278;10000088;Септицемия неуточненная;A41.9
10002279;10000089;Легочный актиномикоз;A42.0
10002280;10000089;Абдоминальный актиномикоз;A42.1
10002281;10000089;Шейно-лицевой актиномикоз;A42.2
10002282;10000089;Актиномикозная септицемия;A42.7
10002283;10000089;Другие актиномикозы;A42.8
10002284;10000089;Актиномикоз неуточненный;A42.9
10002285;10000090;Легочный нокардиоз;A43.0
10002286;10000090;Нокардиоз кожи;A43.1
10002287;10000090;Другие формы нокардиоза;A43.8
10002288;10000090;Нокардиоз неуточненный;A43.9
10002289;10000091;Системный бартонеллез;A44.0
10002290;10000091;Кожный и кожно-слизистый бартонеллез;A44.1
10002291;10000091;Другие бартонеллезы;A44.8
10002292;10000091;Бартонеллез неуточненный;A44.9
10002293;10000093;Газовая гангрена;A48.0
10002294;10000093;Болезнь легионеров;A48.1
10002295;10000093;Болезнь легионеров без пневмонии [лихорадка Понтиак];A48.2
10002296;10000093;Синдром токсического шока;A48.3
10002297;10000093;Бразильская пурпурная лихорадка;A48.4
10002298;10000093;Другие уточненные бактериальные болезни;A48.8
10002299;10000094;Стафилококковая инфекция неуточненная;A49.0
10002300;10000094;Стрептококковая инфекция неуточненная;A49.1
10002301;10000094;Инфекция, вызванная Haemophilus influenzae, неуточненная;A49.2
10002302;10000094;Инфекция, вызванная микоплазмой, неуточненная;A49.3
10002303;10000094;Другие бактериальные инфекции неуточненной локализации;A49.8
10002304;10000094;Бактериальная инфекция неуточненная;A49.9
10002305;10000095;Ранний врожденный сифилис с симптомами;A50.0
10002306;10000095;Ранний врожденный сифилис скрытый;A50.1
10002307;10000095;Ранний врожденный сифилис неуточненный;A50.2
10002308;10000095;Позднее врожденное сифилитическое поражение глаз;A50.3
10002309;10000095;Поздний врожденный нейросифилис [ювенильный нейросифилис];A50.4
10002310;10000095;Другие формы позднего врожденного сифилиса с симптомами;A50.5
10002311;10000095;Поздний врожденный сифилис скрытый;A50.6
10002312;10000095;Поздний врожденный сифилис неуточненный;A50.7
10002313;10000095;Врожденный сифилис неуточненный;A50.9
10002314;10000096;Первичный сифилис половых органов;A51.0
10002315;10000096;Первичный сифилис анальной области;A51.1
10002316;10000096;Первичный сифилис других локализаций;A51.2
10002317;10000096;Вторичный сифилис кожи и слизистых оболочек;A51.3
10002318;10000096;Другие формы вторичного сифилиса;A51.4
10002319;10000096;Ранний сифилис скрытый;A51.5
10002320;10000096;Ранний сифилис неуточненный;A51.9
10002321;10000097;Сифилис сердечно-сосудистой системы;A52.0+
10002322;10000097;Нейросифилис с симптомами;A52.1
10002323;10000097;Асимптомный нейросифилис;A52.2
10002324;10000097;Нейросифилис неуточненный;A52.3
10002325;10000097;Другие симптомы позднего сифилиса;A52.7
10002326;10000097;Поздний сифилис скрытый;A52.8
10002327;10000097;Поздний сифилис неуточненный;A52.9
10002328;10000098;Скрытый сифилис, неуточненный как ранний или поздний;A53.0
10002329;10000098;Сифилис неуточненный;A53.9
10002330;10000099;Гонококковая инфекция нижних отделов мочеполового тракта без абсцедирования периуретральных или придаточных желез;A54.0
10002331;10000099;Гонококковая инфекция нижних отделов мочеполового тракта с абсцедированием периуретральных и придаточных желез;A54.1
10002332;10000099;Гонококковый пельвиоперитонит и другая гонококковая инфекция мочеполовых органов;A54.2+
10002333;10000099;Гонококковая инфекция глаз;A54.3
10002334;10000099;Гонококковая инфекция костно-мышечной системы;A54.4+
10002335;10000099;Гонококковый фарингит;A54.5
10002336;10000099;Гонококковая инфекция аноректальной области;A54.6
10002337;10000099;Другие гонококковые инфекции;A54.8
10002338;10000099;Гонококковая инфекция неуточненная;A54.9
10002339;10000101;Хламидийные инфекции нижних отделов мочеполового тракта;A56.0
10002340;10000101;Хламидийные инфекции органов малого таза и других;A56.1+
10002341;10000101;Хламидийная инфекция мочеполового тракта неуточненная;A56.2
10002342;10000101;Хламидийная инфекция аноректальной области;A56.3
10002343;10000101;Хламидийный фарингит;A56.4
10002344;10000101;Хламидийные инфекции, передающиеся половым путем, другой локализации;A56.8
10002345;10000104;Урогенитальный трихомониаз;A59.0
10002346;10000104;Трихомониаз других локализаций;A59.8
10002347;10000104;Трихомониаз неуточненный;A59.9
10002348;10000105;Герпетические инфекции половых органов и мочеполового тракта;A60.0
10002349;10000105;Герпетические инфекции перианальных кожных покровов и прямой кишки;A60.1
10002350;10000105;Аногенитальная герпетическая инфекция неуточненная;A60.9
10002351;10000106;Аногенитальные (венерические) бородавки;A63.0
10002352;10000106;Другие уточненные заболевания, передающиеся преимущественно половым путем;A63.8
10002353;10000109;Первичные фрамбезийные поражения;A66.0
10002354;10000109;Множественные папилломы и пианома подошвенная;A66.1
10002355;10000109;Другие ранние кожные фрамбезийные поражения;A66.2
10002356;10000109;Фрамбезийный гиперкератоз;A66.3
10002357;10000109;Фрамбезийные гуммы и язвы;A66.4
10002358;10000109;Гангоза;A66.5
10002359;10000109;Фрамбезийные поражения костей и суставов;A66.6
10002360;10000109;Другие проявления фрамбезии;A66.7
10002361;10000109;Латентная фрамбезия;A66.8
10002362;10000109;Фрамбезия неуточненная;A66.9
10002363;10000110;Первичные поражения при пинте;A67.0
10002364;10000110;Промежуточные поражения при пинте;A67.1
10002365;10000110;Поздние поражения при пинте;A67.2
10002366;10000110;Смешанные поражения при пинте;A67.3
10002367;10000110;Пинта неуточненная;A67.9
10002368;10000111;Вшивая возвратная лихорадка;A68.0
10002369;10000111;Эпидемический возвратный тиф;A68.1
10002370;10000111;Возвратная лихорадка неуточненная;A68.9
10002371;10000112;Некротизирующий язвенный стоматит;A69.0
10002372;10000112;Другие инфекции Венсана;A69.1
10002373;10000112;Болезнь Лайма;A69.2
10002374;10000112;Другие уточненные спирохетозные инфекции;A69.8
10002375;10000112;Спирохетозная инфекция неуточненная;A69.9
10002376;10000114;Начальная стадия трахомы;A71.0
10002377;10000114;Активная стадия трахомы;A71.1
10002378;10000114;Трахома неуточненная;A71.9
10002379;10000115;Хламидийный конъюнктивит (H13.1*);A74.0+
10002380;10000115;Другие хламидийные болезни;A74.8
10002381;10000115;Хламидийная инфекция неуточненная;A74.9
10002382;10000116;Эпидемический вшивый тиф, вызываемый Rickettsia prowazekii;A75.0
10002383;10000116;Рецидивирующий тиф [болезнь Брилла];A75.1
10002384;10000116;Тиф, вызываемый Rickettsia typhi;A75.2
10002385;10000116;Тиф, вызываемый Rickettsia tsutsugamushi;A75.3
10002386;10000116;Сыпной тиф неуточненный;A75.9
10002387;10000117;Пятнистая лихорадка, вызываемая Rickettsia rickettsii;A77.0
10002388;10000117;Пятнистая лихорадка, вызываемая Rickettsia conorii;A77.1
10002389;10000117;Пятнистая лихорадка, вызываемая Rickettsia siberica;A77.2
10002390;10000117;Пятнистая лихорадка, вызываемая Rickettsia australis;A77.3
10002391;10000117;Другие пятнистые лихорадки;A77.8
10002392;10000117;Пятнистая лихорадка неуточненная;A77.9
10002393;10000119;Окопная лихорадка;A79.0
10002394;10000119;Осповидный риккетсиоз, вызываемый Rickettsia akari;A79.1
10002395;10000119;Другие уточненные риккетсиозы;A79.8
10002396;10000119;Риккетсиоз неуточненный;A79.9
10002397;10000120;Острый паралитический полиомиелит, ассоциированный с вакциной;A80.0
10002398;10000120;Острый паралитический полиомиелит, вызванный диким завезенным вирусом;A80.1
10002399;10000120;Острый паралитический полиомиелит, вызванный диким природным вирусом;A80.2
10002400;10000120;Острый паралитический полиомиелит другой и неуточненный;A80.3
10002401;10000120;Острый непаралитический полиомиелит;A80.4
10002402;10000120;Острый полиомиелит неуточненный;A80.9
10002403;10000121;Болезнь Крейтцфельдта-Якоба;A81.0
10002404;10000121;Подострый склерозирующий панэнцефалит;A81.1
10002405;10000121;Прогрессирующая многоочаговая лейкоэнцефалопатия;A81.2
10002406;10000121;Другие медленные вирусные инфекции центральной нервной системы Куру;A81.8
10002407;10000121;Медленные вирусные инфекции центральной нервной системы неуточненные;A81.9
10002408;10000122;Лесное бешенство;A82.0
10002409;10000122;Городское бешенство;A82.1
10002410;10000122;Бешенство неуточненное;A82.9
10002411;10000123;Японский энцефалит;A83.0
10002412;10000123;Западный лошадиный энцефалит;A83.1
10002413;10000123;Восточный лошадиный энцефалит;A83.2
10002414;10000123;Энцефалит Сент-Луис;A83.3
10002415;10000123;Австралийский энцефалит;A83.4
10002416;10000123;Калифорнийский энцефалит;A83.5
10002417;10000123;Болезнь, вызванная вирусом Роцио;A83.6
10002418;10000123;Другие комариные вирусные энцефалиты;A83.8
10002419;10000123;Комариный вирусный энцефалит неуточненный;A83.9
10002420;10000124;Дальневосточный клещевой энцефалит [русский весенне-летний энцефалит];A84.0
10002421;10000124;Центральноевропейский клещевой энцефалит;A84.1
10002422;10000124;Другие клещевые вирусные энцефалиты;A84.8
10002423;10000124;Клещевой вирусный энцефалит неуточненный;A84.9
10002424;10000125;Энтеровирусный энцефалит (G05.1*);A85.0+
10002425;10000125;Аденовирусный энцефалит (G05.1*);A85.1+
10002426;10000125;Вирусный энцефалит, передаваемый членистоногими, неуточненный;A85.2
10002427;10000125;Другие уточненные вирусные энцефалиты;A85.8
10002428;10000127;Энтеровирусный менингит (G02.0*);A87.0+
10002429;10000127;Аденовирусный менингит (G02.0*);A87.1+
10002430;10000127;Лимфоцитарный хориоменингит;A87.2
10002431;10000127;Другой вирусный менингит;A87.8
10002432;10000127;Вирусный менингит неуточненный;A87.9
10002433;10000128;Энтеровирусная экзантематозная лихорадка [бостонская экзантема];A88.0
10002434;10000128;Эпидемическое головокружение;A88.1
10002435;10000128;Другие уточненные вирусные инфекции центральной нервной системы;A88.8
10002436;10000132;Болезнь, вызванная вирусом Чикунгунья;A92.0
10002437;10000132;Лихорадка ОНьонг-Ньонг';A92.1
10002438;10000132;Венесуэльская лошадиная лихорадка;A92.2
10002439;10000132;Лихорадка Западного Нила;A92.3
10002440;10000132;Лихорадка Рифт-Валли [долины Рифт];A92.4
10002441;10000132;Другая уточненная комариная вирусная лихорадка;A92.8
10002442;10000132;Комариная вирусная лихорадка неуточненная;A92.9
10002443;10000133;Болезнь, вызванная вирусом Оропуш;A93.0
10002444;10000133;Москитная лихорадка;A93.1
10002445;10000133;Колорадская клещевая лихорадка;A93.2
10002446;10000133;Другие уточненные вирусные лихорадки, передаваемые членистоногими;A93.8
10002447;10000135;Лесная желтая лихорадка;A95.0
10002448;10000135;Городская желтая лихорадка;A95.1
10002449;10000135;Желтая лихорадка неуточненная;A95.9
10002450;10000136;Геморрагическая лихорадка Хунин;A96.0
10002451;10000136;Геморрагическая лихорадка Мачупо;A96.1
10002452;10000136;Лихорадка Ласса;A96.2
10002453;10000136;Другие ареновирусные геморрагические лихорадки;A96.8
10002454;10000136;Ареновирусная геморрагическая лихорадка неуточненная;A96.9
10002455;10000137;Крымская геморрагическая лихорадка (вызванная вирусом Конго);A98.0
10002456;10000137;Омская геморрагическая лихорадка;A98.1
10002457;10000137;Кьясанурская лесная болезнь;A98.2
10002458;10000137;Болезнь, вызванная вирусом Марбург;A98.3
10002459;10000137;Болезнь, вызванная вирусом Эбола;A98.4
10002460;10000137;Геморрагическая лихорадка с почечным синдромом;A98.5
10002461;10000137;Другие уточненные вирусные геморрагические лихорадки;A98.8
10002462;10000139;Герпетическая экзема;B00.0
10002463;10000139;Герпетический везикулярный дерматит;B00.1
10002464;10000139;Герпетический гингивостоматит и фаринготонзиллит;B00.2
10002465;10000139;Герпетический менингит (G02.0*);B00.3+
10002466;10000139;Герпетический энцефалит (G05.1*);B00.4+
10002467;10000139;Герпетическая болезнь глаз;B00.5+
10002468;10000139;Диссеминированная герпетическая болезнь;B00.7
10002469;10000139;Другие формы герпетических инфекций;B00.8
10002470;10000139;Герпетическая инфекция неуточненная;B00.9
10002471;10000140;Ветряная оспа с менингитом (G02.0*);B01.0+
10002472;10000140;Ветряная оспа с энцефалитом (G05.1*);B01.1+
10002473;10000140;Ветряная оспа с пневмонией (J17.1*);B01.2+
10002474;10000140;Ветряная оспа с другими осложнениями;B01.8
10002475;10000140;Ветряная оспа без осложнений;B01.9
10002476;10000141;Опоясывающий лишай с энцефалитом (G05.1*);B02.0+
10002477;10000141;Опоясывающий лишай с менингитом (G02.0*);B02.1+
10002478;10000141;Опоясывающий лишай с другими осложнениями со стороны нервной системы;B02.2+
10002479;10000141;Опоясывающий лишай с глазными осложнениями;B02.3+
10002480;10000141;Диссеминированный опоясывающий лишай;B02.7
10002481;10000141;Опоясывающий лишай с другими осложнениями;B02.8
10002482;10000141;Опоясывающий лишай без осложнений;B02.9
10002483;10000144;Корь, осложненная энцефалитом (G05.1*);B05.0+
10002484;10000144;Корь, осложненная менингитом (G02.0*);B05.1+
10002485;10000144;Корь, осложненная пневмонией (J17.1*);B05.2+
10002486;10000144;Корь, осложненная средним отитом (H67.1*);B05.3+
10002487;10000144;Корь с кишечными осложнениями;B05.4
10002488;10000144;Корь с другими осложнениями;B05.8
10002489;10000144;Корь без осложнений;B05.9
10002490;10000145;Краснуха с неврологическими осложнениями;B06.0+
10002491;10000145;Краснуха с другими осложнениями;B06.8
10002492;10000145;Краснуха без осложнений;B06.9
10002493;10000147;Другие инфекции, вызванные ортопоксвирусом;B08.0
10002494;10000147;Контагиозный моллюск;B08.1
10002495;10000147;Экзантема внезапная (шестая болезнь);B08.2
10002496;10000147;Эритема инфекционная (пятая болезнь);B08.3
10002497;10000147;Энтеровирусный везикулярный стоматит с экзантемой;B08.4
10002498;10000147;Энтеровирусный везикулярный фарингит;B08.5
10002499;10000147;Другие уточненные инфекции, характеризующиеся поражением кожи и слизистых оболочек;B08.8
10002500;10000149;Гепатит A с печеночной комой;B15.0
10002501;10000149;Гепатит A без печеночной комы;B15.9
10002502;10000150;Острый гепатит B с дельта-агентом (коинфекция) и печеночной комой;B16.0
10002503;10000150;Острый гепатит B с дельта-агентом (коинфекция) без печеночной комы;B16.1
10002504;10000150;Острый гепатит B без дельта-агента с печеночной комой;B16.2
10002505;10000150;Острый гепатит B без дельта-агента и без печеночной комы;B16.9
10002506;10000151;Острая дельта(супер)-инфекция вирусоносителя гепатита B;B17.0
10002507;10000151;Острый гепатит C;B17.1
10002508;10000151;Острый гепатит E;B17.2
10002509;10000151;Другие уточненные острые вирусные гепатиты;B17.8
10002510;10000152;Хронический вирусный гепатит B с дельта-агентом;B18.0
10002511;10000152;Хронический вирусный гепатит B без дельта-агента;B18.1
10002512;10000152;Хронический вирусный гепатит C;B18.2
10002513;10000152;Другой хронический вирусный гепатит;B18.8
10002514;10000152;Хронический вирусный гепатит неуточненный;B18.9
10002515;10000153;Неуточненный вирусный гепатит с комой;B19.0
10002516;10000153;Неуточненный вирусный гепатит без печеночной комы;B19.9
10002517;10000154;Болезнь, вызванная ВИЧ, с проявлениями микобактериальной инфекции;B20.0
10002518;10000154;Болезнь, вызванная ВИЧ, с проявлениями других бактериальных инфекций;B20.1
10002519;10000154;Болезнь, вызванная ВИЧ, с проявлениями цитомегало-вирусного заболевания;B20.2
10002520;10000154;Болезнь, вызванная ВИЧ, с проявлениями других вирусных инфекций;B20.3
10002521;10000154;Болезнь, вызванная ВИЧ, с проявлениями кандидоза;B20.4
10002522;10000154;Болезнь, вызванная ВИЧ, с проявлениями других микозов;B20.5
10002523;10000154;Болезнь, вызванная ВИЧ, с проявлениями пневмонии, вызванной Pneumocystis carinii;B20.6
10002524;10000154;Болезнь, вызванная ВИЧ, с проявлениями множественных инфекций;B20.7
10002525;10000154;Болезнь, вызванная ВИЧ, с проявлениями других инфекционных и паразитарных болезней;B20.8
10002526;10000154;Болезнь, вызванная ВИЧ, с проявлениями неуточненных инфекционных и паразитарных болезней;B20.9
10002527;10000155;Болезнь, вызванная ВИЧ, с проявлениями саркомы Капоши;B21.0
10002528;10000155;Болезнь, вызванная ВИЧ, с проявлениями лимфомы Беркитта;B21.1
10002529;10000155;Болезнь, вызванная ВИЧ, с проявлениями других неходжкинских лимфом;B21.2
10002530;10000155;Болезнь, вызванная ВИЧ, с проявлениями других злокачественных новообразований лимфатической, кроветворной и родственных им тканей;B21.3
10002531;10000155;Болезнь, вызванная ВИЧ, с проявлениями множественных злокачественных новообразований;B21.7
10002532;10000155;Болезнь, вызванная ВИЧ, с проявлениями других злокачественных новообразований;B21.8
